Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
1998,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,LIVE_BIRTHS_PER_WOMAN,5.3
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,LIVE_BIRTHS_PER_WOMAN,4.0
2004,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,LIVE_BIRTHS_PER_WOMAN,3.34
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,LIVE_BIRTHS_PER_WOMAN,3.4
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,LIVE_BIRTHS_PER_WOMAN,3.1
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,LIVE_BIRTHS_PER_WOMAN,3.0
2013,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,LIVE_BIRTHS_PER_WOMAN,2.37
2014,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,LIVE_BIRTHS_PER_WOMAN,2.7
2019,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,,LIVE_BIRTHS_PER_WOMAN,2.51
1998,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,U,LIVE_BIRTHS_PER_WOMAN,4.4
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,U,LIVE_BIRTHS_PER_WOMAN,3.1
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,U,LIVE_BIRTHS_PER_WOMAN,2.8
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,U,LIVE_BIRTHS_PER_WOMAN,2.1
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,U,LIVE_BIRTHS_PER_WOMAN,2.2
2013,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,U,LIVE_BIRTHS_PER_WOMAN,2.15
2014,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,U,LIVE_BIRTHS_PER_WOMAN,2.1
