Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,TIME_DETAIL,Value
2000,KH,F,M0,,,2014,34.1
2005,KH,F,M0,,,2014,30.0
2010,KH,F,M0,,,2014,27.0
2014,KH,F,M0,,,2014,20.0
2000,KH,F,Y0,,,2014,34.1
2005,KH,F,Y0,,,2014,30.0
2010,KH,F,Y0,,,2014,27.0
2014,KH,F,Y0,,,2014,20.0
2000,KH,M,M0,,,2014,44.0
2005,KH,M,M0,,,2014,42.0
2010,KH,M,M0,,,2014,36.0
2014,KH,M,M0,,,2014,22.0
2000,KH,M,Y0,,,2014,44.0
2005,KH,M,Y0,,,2014,42.0
2010,KH,M,Y0,,,2014,36.0
2014,KH,M,Y0,,,2014,22.0
2000,KH,,M0,,,2014,37.3
2005,KH,,M0,,,2014,28.0
2010,KH,,M0,,,2014,27.0
2014,KH,,M0,,,2014,18.0
2005,KH,,M0,,Q1,2014,34.0
2010,KH,,M0,,Q1,2014,39.0
2014,KH,,M0,,Q1,2014,27.0
2005,KH,,M0,,Q2,2014,45.0
2010,KH,,M0,,Q2,2014,34.0
2014,KH,,M0,,Q2,2014,23.0
2005,KH,,M0,,Q3,2014,38.0
2010,KH,,M0,,Q3,2014,35.0
2014,KH,,M0,,Q3,2014,24.0
2005,KH,,M0,,Q4,2014,38.0
2010,KH,,M0,,Q4,2014,26.0
2014,KH,,M0,,Q4,2014,18.0
2005,KH,,M0,,Q5,2014,22.0
2010,KH,,M0,,Q5,2014,16.0
2014,KH,,M0,,Q5,2014,12.0
2000,KH,,M0,U,,2014,27.0
2005,KH,,M0,U,,2014,29.0
2010,KH,,M0,U,,2014,11.0
2014,KH,,M0,U,,2014,10.0
2000,KH,,M0,R,,2014,40.9
2005,KH,,M0,R,,2014,37.0
2010,KH,,M0,R,,2014,35.0
2014,KH,,M0,R,,2014,23.0
2000,KH,,Y0,,,2014,37.3
2005,KH,,Y0,,,2014,28.0
2010,KH,,Y0,,,2014,27.0
2014,KH,,Y0,,,2014,18.0
2005,KH,,Y0,,Q1,2014,34.0
2010,KH,,Y0,,Q1,2014,39.0
2014,KH,,Y0,,Q1,2014,27.0
2005,KH,,Y0,,Q2,2014,45.0
2010,KH,,Y0,,Q2,2014,34.0
2014,KH,,Y0,,Q2,2014,23.0
2005,KH,,Y0,,Q3,2014,38.0
2010,KH,,Y0,,Q3,2014,35.0
2014,KH,,Y0,,Q3,2014,24.0
2005,KH,,Y0,,Q4,2014,38.0
2010,KH,,Y0,,Q4,2014,26.0
2014,KH,,Y0,,Q4,2014,18.0
2005,KH,,Y0,,Q5,2014,22.0
2010,KH,,Y0,,Q5,2014,16.0
2014,KH,,Y0,,Q5,2014,12.0
2000,KH,,Y0,U,,2014,27.0
2005,KH,,Y0,U,,2014,29.0
2010,KH,,Y0,U,,2014,11.0
2014,KH,,Y0,U,,2014,10.0
2000,KH,,Y0,R,,2014,40.9
2005,KH,,Y0,R,,2014,37.0
2010,KH,,Y0,R,,2014,35.0
2014,KH,,Y0,R,,2014,23.0
2000,KH01,,M0,,,2014,31.4
2005,KH01,,M0,,,2014,34.0
2010,KH01,,M0,,,2014,26.0
2014,KH01,,M0,,,2014,20.0
2000,KH03,,M0,,,2014,38.7
2005,KH03,,M0,,,2014,35.0
2010,KH03,,M0,,,2014,33.0
2014,KH03,,M0,,,2014,25.0
2000,KH04,,M0,,,2014,41.9
2005,KH04,,M0,,,2014,36.0
2010,KH04,,M0,,,2014,45.0
2014,KH04,,M0,,,2014,27.0
2000,KH05,,M0,,,2014,26.4
2005,KH05,,M0,,,2014,41.0
2010,KH05,,M0,,,2014,39.0
2014,KH05,,M0,,,2014,19.0
2000,KH06,,M0,,,2014,38.8
2005,KH06,,M0,,,2014,38.0
2010,KH06,,M0,,,2014,29.0
2014,KH06,,M0,,,2014,29.0
2000,KH08,,M0,,,2014,38.8
2005,KH08,,M0,,,2014,30.0
2010,KH08,,M0,,,2014,34.0
2014,KH08,,M0,,,2014,17.0
2000,KH09,,M0,,,2000,31.5
2005,KH10,,M0,,,2014,37.0
2010,KH10,,M0,,,2014,47.0
2014,KH10,,M0,,,2014,30.0
2005,KH22,,M0,,,2014,19.0
2010,KH22,,M0,,,2014,20.0
2014,KH22,,M0,,,2014,17.0
2000,KH12,,M0,,,2014,14.0
2005,KH12,,M0,,,2014,24.0
2010,KH12,,M0,,,2014,8.0
2014,KH12,,M0,,,2014,13.0
2000,KH14,,M0,,,2014,52.4
2005,KH14,,M0,,,2014,52.0
2010,KH14,,M0,,,2014,34.0
2014,KH14,,M0,,,2014,33.0
2000,KH15,,M0,,,2014,51.0
2005,KH15,,M0,,,2014,27.0
2010,KH15,,M0,,,2014,29.0
2014,KH15,,M0,,,2014,14.0
2005,KH17,,M0,,,2014,34.0
2010,KH17,,M0,,,2014,28.0
2014,KH17,,M0,,,2014,17.0
2000,KH20,,M0,,,2014,56.2
2005,KH20,,M0,,,2014,29.0
2010,KH20,,M0,,,2014,27.0
2014,KH20,,M0,,,2014,20.0
2000,KH21,,M0,,,2014,38.4
2005,KH21,,M0,,,2014,52.0
2010,KH21,,M0,,,2014,37.0
2014,KH21,,M0,,,2014,16.0
2000,KH_AGG_KH02_KH24,,M0,,,2014,38.3
2005,KH_AGG_KH02_KH24,,M0,,,2014,29.0
2010,KH_AGG_KH02_KH24,,M0,,,2014,28.0
2014,KH_AGG_KH02_KH24,,M0,,,2014,12.0
2000,KH_AGG_KH07_KH18_KH23,,M0,,,2000,42.0
2000,KH_AGG_KH10_KH13_KH19,,M0,,,2000,25.9
2000,KH_AGG_KH11_KH16,,M0,,,2014,79.8
2005,KH_AGG_KH11_KH16,,M0,,,2014,56.0
2010,KH_AGG_KH11_KH16,,M0,,,2014,30.0
2014,KH_AGG_KH11_KH16,,M0,,,2014,36.0
2000,KH_AGG_KH22_KH17,,M0,,,2000,44.6
2005,KH_AGG_KH07_KH23,,M0,,,2014,37.0
2010,KH_AGG_KH07_KH23,,M0,,,2014,44.0
2014,KH_AGG_KH07_KH23,,M0,,,2014,20.0
2005,KH_KH09_KH18,,M0,,,2014,37.0
2010,KH_KH09_KH18,,M0,,,2014,20.0
2014,KH_KH09_KH18,,M0,,,2014,20.0
2005,KH_AGG_KH13_KH19,,M0,,,2014,34.0
2010,KH_AGG_KH13_KH19,,M0,,,2014,29.0
2014,KH_AGG_KH13_KH19,,M0,,,2014,25.0
