Year,REF_AREA,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,TIME_DETAIL,Value
2000,KH,F,,,2014,14.6
2005,KH,F,,,2014,7.4
2010,KH,F,,,2014,10.4
2014,KH,F,,,2014,9.3
2000,KH,M,,,2014,15.4
2005,KH,M,,,2014,7.1
2010,KH,M,,,2014,11.4
2014,KH,M,,,2014,9.9
2000,KH,,,,2014,15.0
2005,KH,,,,2014,7.3
2010,KH,,,,2014,10.9
2014,KH,,,,2014,9.6
2005,KH,,,Q1,2014,8.3
2010,KH,,,Q1,2014,11.9
2014,KH,,,Q1,2014,11.0
2005,KH,,,Q2,2014,9.2
2010,KH,,,Q2,2014,9.6
2014,KH,,,Q2,2014,11.4
2005,KH,,,Q3,2014,5.5
2010,KH,,,Q3,2014,11.5
2014,KH,,,Q3,2014,8.4
2005,KH,,,Q4,2014,6.0
2010,KH,,,Q4,2014,11.1
2014,KH,,,Q4,2014,9.3
2005,KH,,,Q5,2014,6.7
2010,KH,,,Q5,2014,10.1
2014,KH,,,Q5,2014,7.4
2000,KH,,U,,2014,12.6
2005,KH,,U,,2014,8.3
2010,KH,,U,,2014,11.6
2014,KH,,U,,2014,7.5
2000,KH,,R,,2014,15.4
2005,KH,,R,,2014,7.1
2010,KH,,R,,2014,10.8
2014,KH,,R,,2014,9.9
2000,KH01,,,,2014,19.5
2005,KH01,,,,2014,5.5
2010,KH01,,,,2014,7.3
2014,KH01,,,,2014,7.8
2000,KH03,,,,2014,15.6
2005,KH03,,,,2014,6.0
2010,KH03,,,,2014,11.8
2014,KH03,,,,2014,8.1
2000,KH04,,,,2014,9.5
2005,KH04,,,,2014,4.6
2010,KH04,,,,2014,11.4
2014,KH04,,,,2014,11.2
2000,KH05,,,,2014,16.9
2005,KH05,,,,2014,7.6
2010,KH05,,,,2014,10.2
2014,KH05,,,,2014,11.5
2000,KH06,,,,2014,24.5
2005,KH06,,,,2014,3.4
2010,KH06,,,,2014,11.5
2014,KH06,,,,2014,13.0
2000,KH08,,,,2014,11.8
2005,KH08,,,,2014,11.5
2010,KH08,,,,2014,9.9
2014,KH08,,,,2014,9.2
2000,KH09,,,,2000,14.7
2005,KH10,,,,2014,4.2
2010,KH10,,,,2014,7.1
2014,KH10,,,,2014,6.5
2005,KH22,,,,2014,10.3
2010,KH22,,,,2014,17.6
2014,KH22,,,,2014,15.1
2000,KH12,,,,2014,18.3
2005,KH12,,,,2014,5.5
2010,KH12,,,,2014,11.2
2014,KH12,,,,2014,8.4
2000,KH14,,,,2014,15.1
2005,KH14,,,,2014,11.3
2010,KH14,,,,2014,10.9
2014,KH14,,,,2014,8.6
2000,KH15,,,,2014,13.4
2005,KH15,,,,2014,17.0
2010,KH15,,,,2014,13.3
2014,KH15,,,,2014,12.3
2005,KH17,,,,2014,6.3
2010,KH17,,,,2014,12.3
2014,KH17,,,,2014,9.5
2000,KH20,,,,2014,13.0
2005,KH20,,,,2014,7.8
2010,KH20,,,,2014,12.2
2014,KH20,,,,2014,7.6
2000,KH21,,,,2014,17.2
2005,KH21,,,,2014,7.6
2010,KH21,,,,2014,9.5
2014,KH21,,,,2014,14.6
2000,KH_AGG_KH02_KH24,,,,2014,21.1
2005,KH_AGG_KH02_KH24,,,,2014,5.6
2010,KH_AGG_KH02_KH24,,,,2014,14.4
2014,KH_AGG_KH02_KH24,,,,2014,7.9
2000,KH_AGG_KH07_KH18_KH23,,,,2000,9.6
2000,KH_AGG_KH10_KH13_KH19,,,,2000,10.9
2000,KH_AGG_KH11_KH16,,,,2014,15.2
2005,KH_AGG_KH11_KH16,,,,2014,7.6
2010,KH_AGG_KH11_KH16,,,,2014,10.3
2014,KH_AGG_KH11_KH16,,,,2014,8.2
2000,KH_AGG_KH22_KH17,,,,2000,10.6
2005,KH_AGG_KH07_KH23,,,,2014,5.0
2010,KH_AGG_KH07_KH23,,,,2014,8.9
2014,KH_AGG_KH07_KH23,,,,2014,8.2
2005,KH_KH09_KH18,,,,2014,7.3
2010,KH_KH09_KH18,,,,2014,9.1
2014,KH_KH09_KH18,,,,2014,10.5
2005,KH_AGG_KH13_KH19,,,,2014,9.7
2010,KH_AGG_KH13_KH19,,,,2014,8.0
2014,KH_AGG_KH13_KH19,,,,2014,13.8
