Year,SOURCE_DETAIL,REF_AREA,URBANISATION,TIME_DETAIL,Value
2000,MoH_Health Management Information System,KH,,2018,31.8
2005,MoH_Health Management Information System,KH,,2018,43.8
2010,MoH_Health Management Information System,KH,,2018,71.0
2014,MoH_Health Management Information System,KH,,2018,89.0
2015,MoH_Health Management Information System,KH,,2018,89.0
2016,MoH_Health Management Information System,KH,,2018,85.0
2017,MoH_Health Management Information System,KH,,2018,89.0
2018,MoH_Health Management Information System,KH,,2018,87.3
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH,U,2014,57.2
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH,U,2014,70.1
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH,U,2014,94.7
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH,U,2014,97.8
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH,R,2014,28.0
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH,R,2014,39.4
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH,R,2014,66.6
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH,R,2014,87.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH01,,2014,36.6
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH01,,2014,33.1
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH01,,2014,69.0
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH01,,2014,95.8
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH03,,2014,22.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH03,,2014,45.9
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH03,,2014,67.9
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH03,,2014,91.5
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH04,,2014,16.6
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH04,,2014,37.2
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH04,,2014,59.8
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH04,,2014,97.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH05,,2014,15.1
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH05,,2014,22.7
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH05,,2014,68.2
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH05,,2014,89.3
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH06,,2014,15.4
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH06,,2014,24.5
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH06,,2014,47.7
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH06,,2014,80.4
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH08,,2014,53.0
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH08,,2014,73.5
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH08,,2014,87.0
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH08,,2014,95.7
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH09,,2000,30.6
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH10,,2014,28.6
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH10,,2014,44.4
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH10,,2014,51.9
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH22,,2014,15.2
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH22,,2014,64.4
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH22,,2014,88.7
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH12,,2014,88.9
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH12,,2014,86.0
