Year,SERIES,Value
2005,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),1769327
2006,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),2340235
2007,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),2979116
2008,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),2878513
2009,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),2524294
2010,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),3051601
2011,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),3480843
2012,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),3997331
2013,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),4606281
2014,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),5168687
2015,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),5606317
2016,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),6201338
2017,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),6877284
2018,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),7626908
2019,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),8458241
2020,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),9380189
2005,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),158384
2006,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),159478
2007,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),187066
2008,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),182328
2009,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),143649
2010,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),136678
2011,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),144465
2012,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),172223
2013,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),214418
2014,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),298904
2015,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),436167
2016,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),423478
2017,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),432795
2018,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),442316
2019,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),452047
2020,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),461992
