Year,REF_AREA,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,TIME_DETAIL,Value
2000,KH,F,,,2014,45.9
2005,KH,F,,,2014,35.8
2010,KH,F,,,2014,38.2
2014,KH,F,,,2014,31.9
2000,KH,M,,,2014,43.3
2005,KH,M,,,2014,38.8
2010,KH,M,,,2014,41.6
2014,KH,M,,,2014,32.9
2000,KH,,,,2014,44.6
2005,KH,,,,2014,37.3
2010,KH,,,,2014,39.9
2014,KH,,,,2014,32.4
2005,KH,,,Q1,2014,46.7
2010,KH,,,Q1,2014,51.1
2014,KH,,,Q1,2014,41.9
2005,KH,,,Q2,2014,42.5
2010,KH,,,Q2,2014,44.4
2014,KH,,,Q2,2014,37.1
2005,KH,,,Q3,2014,36.5
2010,KH,,,Q3,2014,39.3
2014,KH,,,Q3,2014,31.7
2005,KH,,,Q4,2014,35.5
2010,KH,,,Q4,2014,34.2
2014,KH,,,Q4,2014,29.1
2005,KH,,,Q5,2014,19.4
2010,KH,,,Q5,2014,23.1
2014,KH,,,Q5,2014,18.5
2000,KH,,U,,2014,38.1
2005,KH,,U,,2014,30.5
2010,KH,,U,,2014,27.5
2014,KH,,U,,2014,23.7
2000,KH,,R,,2014,45.7
2005,KH,,R,,2014,38.3
2010,KH,,R,,2014,42.2
2014,KH,,R,,2014,33.8
2000,KH01,,,,2014,28.9
2005,KH01,,,,2014,34.1
2010,KH01,,,,2014,33.4
2014,KH01,,,,2014,28.6
2000,KH03,,,,2014,48.2
2005,KH03,,,,2014,37.2
2010,KH03,,,,2014,46.9
2014,KH03,,,,2014,33.5
2000,KH04,,,,2014,45.9
2005,KH04,,,,2014,37.3
2010,KH04,,,,2014,40.3
2014,KH04,,,,2014,42.8
2000,KH05,,,,2014,44.5
2005,KH05,,,,2014,36.6
2010,KH05,,,,2014,42.1
2014,KH05,,,,2014,40.5
2000,KH06,,,,2014,47.2
2005,KH06,,,,2014,41.1
2010,KH06,,,,2014,49.9
2014,KH06,,,,2014,36.4
2000,KH08,,,,2014,46.2
2005,KH08,,,,2014,26.8
2010,KH08,,,,2014,34.9
2014,KH08,,,,2014,28.1
2000,KH09,,,,2000,55.0
2005,KH10,,,,2014,37.1
2010,KH10,,,,2014,47.6
2014,KH10,,,,2014,38.4
2005,KH22,,,,2014,47.3
2010,KH22,,,,2014,39.6
2014,KH22,,,,2014,36.3
2000,KH12,,,,2014,22.6
2005,KH12,,,,2014,22.3
2010,KH12,,,,2014,25.1
2014,KH12,,,,2014,17.9
2000,KH14,,,,2014,51.2
2005,KH14,,,,2014,38.3
2010,KH14,,,,2014,34.6
2014,KH14,,,,2014,32.7
2000,KH15,,,,2014,46.3
2005,KH15,,,,2014,61.6
2010,KH15,,,,2014,44.8
2014,KH15,,,,2014,38.8
2005,KH17,,,,2014,53.3
2010,KH17,,,,2014,50.3
2014,KH17,,,,2014,35.9
2000,KH20,,,,2014,51.3
2005,KH20,,,,2014,35.4
2010,KH20,,,,2014,31.2
2014,KH20,,,,2014,32.8
2000,KH21,,,,2014,42.1
2005,KH21,,,,2014,38.5
2010,KH21,,,,2014,41.3
2014,KH21,,,,2014,30.7
2000,KH_AGG_KH02_KH24,,,,2014,36.3
2005,KH_AGG_KH02_KH24,,,,2014,36.2
2010,KH_AGG_KH02_KH24,,,,2014,26.5
2014,KH_AGG_KH02_KH24,,,,2014,24.9
2000,KH_AGG_KH07_KH18_KH23,,,,2000,43.4
2000,KH_AGG_KH10_KH13_KH19,,,,2000,51.0
2000,KH_AGG_KH11_KH16,,,,2014,55.0
2005,KH_AGG_KH11_KH16,,,,2014,54.0
2010,KH_AGG_KH11_KH16,,,,2014,54.9
2014,KH_AGG_KH11_KH16,,,,2014,39.8
2000,KH_AGG_KH22_KH17,,,,2000,50.7
2005,KH_AGG_KH07_KH23,,,,2014,28.2
2010,KH_AGG_KH07_KH23,,,,2014,43.4
2014,KH_AGG_KH07_KH23,,,,2014,25.2
2005,KH_KH09_KH18,,,,2014,36.8
2010,KH_KH09_KH18,,,,2014,41.8
2014,KH_KH09_KH18,,,,2014,33.4
2005,KH_AGG_KH13_KH19,,,,2014,42.0
2010,KH_AGG_KH13_KH19,,,,2014,56.4
2014,KH_AGG_KH13_KH19,,,,2014,44.3
