Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,10.756417
2008,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,11.873742
2009,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,12.189993
2010,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,12.696833
2011,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,13.118683
2012,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,13.336577
2013,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,13.286465
2014,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,14.907281
2015,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,14.685613
2016,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,11.984014
2017,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,11.324831
2018,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,11.018785
2019,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,KH,PER_100000_POP,12.16138
