Year,URBANISATION,Value
1993,,9.5
1996,,11.9
1997,,9.0
1999,,10.6
2004,,14.177744
2007,,20.2
2008,,24.2
2009,,25.6
2010,,32.5
2011,,37.4
2012,,42.3
2013,,50.948558
2014,,59.8
2015,,67.4
2016,,80.928907
2017,,85.9
2019,,85.77
1993,U,30.2
1996,U,29.3
1997,U,22.3
1999,U,24.4
2004,U,44.014684
2007,U,56.0
2008,U,62.1
2009,U,76.7
2010,U,78.1
2011,U,80.9
2012,U,87.0
2013,U,94.296733
2014,U,91.8
2015,U,94.3
2016,U,93.366283
2017,U,96.6
2019,U,96.78
1993,R,3.0
1996,R,5.3
1997,R,2.2
1999,R,2.4
2004,R,2.267038
2007,R,10.3
2008,R,11.3
2009,R,11.5
2010,R,18.8
2011,R,24.0
2012,R,26.8
2013,R,37.911397
2014,R,48.3
2015,R,63.3
2016,R,76.448811
2017,R,82.4
2019,R,79.09
