Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
1993,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,39.0
1997,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,36.1
1999,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,35.9
2004,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,34.68
2007,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,47.8
2008,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,29.9
2009,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,22.9
2010,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,21.1
2011,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,19.8
2012,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,18.9
2013,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,16.0
2014,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,,PT,13.5
1993,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,36.62
1997,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,29.9
1999,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,25.2
2004,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,24.73
2007,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,41.0
2008,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,30.5
2009,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,19.3
2010,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,17.0
2011,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,22.5
2012,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,14.5
2013,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,13.9
2014,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,U,PT,12.8
1993,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,R,PT,43.12
1997,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,R,PT,40.1
1999,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,R,PT,40.1
2004,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,R,PT,39.18
2007,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,R,PT,52.3
2008,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,R,PT,31.9
2009,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,R,PT,24.6
2010,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,R,PT,22.7
