Year,Value,UNIT_MEASURE,SERIES
2000,3482,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2001,5096,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2002,6564,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2003,7152,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2004,7671,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2005,8632,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2006,9049,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2007,11779,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2008,20108,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2009,291589,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2010,193858,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2011,1689389,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2012,2706922,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2013,3861979,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2014,5025945,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2015,6443976,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2016,8099132,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2017,10841728,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2018,13611398,NUMBER,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
