Year,Value,UNIT_MEASURE,SERIES
1998,56.3,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2000,57.5,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2001,58.2,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2002,58.9,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2003,59.6,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2004,60.3,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2005,61.0,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2006,61.7,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2007,62.4,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2008,62.4,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2009,63.8,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2010,64.5,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2011,65.2,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2012,66.7,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2013,67.6,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2014,68.3,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2015,69.1,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2016,69.9,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2017,70.6,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2018,70.6,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
2019,75.5,Y,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត
