Year,Value,SERIES
2005,1769327,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2006,2340235,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2007,2979116,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2008,2878513,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2009,2524294,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2010,3051601,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2011,3480843,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2012,3997331,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2013,4606281,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2014,5168687,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2015,5606317,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2016,6201338,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2017,6877284,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2018,7626908,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2019,8458241,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2020,9380189,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2005,158384,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2006,159478,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2007,187066,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2008,182328,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2009,143649,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2010,136678,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2011,144465,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2012,172223,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2013,214418,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2014,298904,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2015,436167,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2016,423478,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2017,432795,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2018,442316,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2019,452047,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2020,461992,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
