Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2005,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,1769327
2006,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,2340235
2007,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,2979116
2008,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,2878513
2009,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,2524294
2010,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,3051601
2011,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,3480843
2012,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,3997331
2013,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,4606281
2014,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,5168687
2015,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,5606317
2016,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,6201338
2017,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,6877284
2018,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,7626908
2019,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,8458241
2020,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,NUMBER,9380189
2005,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,158384
2006,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,159478
2007,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,187066
2008,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,182328
2009,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,143649
2010,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,136678
2011,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,144465
2012,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,172223
2013,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,214418
2014,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,298904
2015,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,436167
2016,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,423478
2017,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,432795
2018,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,442316
2019,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,452047
2020,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,NUMBER,461992
