Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2000,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,3482
2001,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,5096
2002,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,6564
2003,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,7152
2004,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,7671
2005,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,8632
2006,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,9049
2007,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,11779
2008,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,20108
2009,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,291589
2010,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,193858
2011,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,1689389
2012,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,2706922
2013,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,3861979
2014,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,5025945
2015,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,6443976
2016,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,8099132
2017,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,10841728
2018,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត,,NUMBER,13611398
