Year,Source details,Reference area,Degree of urbanisation,Time period details,Value
1998,"MoP, NIS_General Population Census of Cambodia",Cambodia,,2019,5.3
2000,"MoP, NIS_General Population Census of Cambodia",Cambodia,,2019,4.0
2004,"MoP, NIS_General Population Census of Cambodia",Cambodia,,2019,3.34
2005,"MoP, NIS_General Population Census of Cambodia",Cambodia,,2019,3.4
2008,"MoP, NIS_General Population Census of Cambodia",Cambodia,,2019,3.1
2010,"MoP, NIS_General Population Census of Cambodia",Cambodia,,2019,3.0
2013,"MoP, NIS_General Population Census of Cambodia",Cambodia,,2019,2.37
2014,"MoP, NIS_General Population Census of Cambodia",Cambodia,,2019,2.7
2019,"MoP, NIS_General Population Census of Cambodia",Cambodia,,2019,2.51
1998,"MoP, NIS_General Population Census of Cambodia",Cambodia,Urban,2019,4.4
2000,"MoP, NIS_General Population Census of Cambodia",Cambodia,Urban,2019,3.1
2005,"MoP, NIS_General Population Census of Cambodia",Cambodia,Urban,2019,2.8
2008,"MoP, NIS_General Population Census of Cambodia",Cambodia,Urban,2019,2.1
2010,"MoP, NIS_General Population Census of Cambodia",Cambodia,Urban,2019,2.2
2013,"MoP, NIS_General Population Census of Cambodia",Cambodia,Urban,2019,2.15
2014,"MoP, NIS_General Population Census of Cambodia",Cambodia,Urban,2019,2.1
2019,"MoP, NIS_General Population Census of Cambodia",Cambodia,Urban,2019,2.22
1998,"MoP, NIS_General Population Census of Cambodia",Cambodia,Rural,2019,5.5
2000,"MoP, NIS_General Population Census of Cambodia",Cambodia,Rural,2019,4.2
2005,"MoP, NIS_General Population Census of Cambodia",Cambodia,Rural,2019,3.5
2008,"MoP, NIS_General Population Census of Cambodia",Cambodia,Rural,2019,3.3
2010,"MoP, NIS_General Population Census of Cambodia",Cambodia,Rural,2019,3.3
2013,"MoP, NIS_General Population Census of Cambodia",Cambodia,Rural,2019,3.05
2014,"MoP, NIS_General Population Census of Cambodia",Cambodia,Rural,2019,2.9
2019,"MoP, NIS_General Population Census of Cambodia",Cambodia,Rural,2019,2.81
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Banteay Meanchey,,2010,4.3
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Banteay Meanchey,,2010,3.8
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Banteay Meanchey,,2010,2.7
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Banteay Meanchey,,2010,3.2
2008,"MoP, NIS_General Population Census of Cambodia",Battambang,,2008,3.2
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Cham,,2010,4.2
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Cham,,2010,3.2
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Cham,,2010,3.1
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Cham,,2010,3.4
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Chhnang,,2010,5.2
