Year,Reference area,Sex,Degree of urbanisation,Income or wealth quantile,Time period details,Value
2000,Cambodia,Female,,,2014,14.6
2005,Cambodia,Female,,,2014,7.4
2010,Cambodia,Female,,,2014,10.4
2014,Cambodia,Female,,,2014,9.3
2000,Cambodia,Male,,,2014,15.4
2005,Cambodia,Male,,,2014,7.1
2010,Cambodia,Male,,,2014,11.4
2014,Cambodia,Male,,,2014,9.9
2000,Cambodia,,,,2014,15.0
2005,Cambodia,,,,2014,7.3
2010,Cambodia,,,,2014,10.9
2014,Cambodia,,,,2014,9.6
2005,Cambodia,,,Quintile 1 (poorest),2014,8.3
2010,Cambodia,,,Quintile 1 (poorest),2014,11.9
2014,Cambodia,,,Quintile 1 (poorest),2014,11.0
2005,Cambodia,,,Quintile 2,2014,9.2
2010,Cambodia,,,Quintile 2,2014,9.6
2014,Cambodia,,,Quintile 2,2014,11.4
2005,Cambodia,,,Quintile 3,2014,5.5
2010,Cambodia,,,Quintile 3,2014,11.5
2014,Cambodia,,,Quintile 3,2014,8.4
2005,Cambodia,,,Quintile 4,2014,6.0
2010,Cambodia,,,Quintile 4,2014,11.1
2014,Cambodia,,,Quintile 4,2014,9.3
2005,Cambodia,,,Quintile 5 (richest),2014,6.7
2010,Cambodia,,,Quintile 5 (richest),2014,10.1
2014,Cambodia,,,Quintile 5 (richest),2014,7.4
2000,Cambodia,,Urban,,2014,12.6
2005,Cambodia,,Urban,,2014,8.3
2010,Cambodia,,Urban,,2014,11.6
2014,Cambodia,,Urban,,2014,7.5
2000,Cambodia,,Rural,,2014,15.4
2005,Cambodia,,Rural,,2014,7.1
2010,Cambodia,,Rural,,2014,10.8
2014,Cambodia,,Rural,,2014,9.9
2000,Banteay Meanchey,,,,2014,19.5
2005,Banteay Meanchey,,,,2014,5.5
2010,Banteay Meanchey,,,,2014,7.3
2014,Banteay Meanchey,,,,2014,7.8
2000,Kampong Cham,,,,2014,15.6
2005,Kampong Cham,,,,2014,6.0
2010,Kampong Cham,,,,2014,11.8
2014,Kampong Cham,,,,2014,8.1
2000,Kampong Chhnang,,,,2014,9.5
2005,Kampong Chhnang,,,,2014,4.6
2010,Kampong Chhnang,,,,2014,11.4
2014,Kampong Chhnang,,,,2014,11.2
2000,Kampong Speu,,,,2014,16.9
2005,Kampong Speu,,,,2014,7.6
2010,Kampong Speu,,,,2014,10.2
2014,Kampong Speu,,,,2014,11.5
2000,Kampong Thom,,,,2014,24.5
2005,Kampong Thom,,,,2014,3.4
2010,Kampong Thom,,,,2014,11.5
2014,Kampong Thom,,,,2014,13.0
2000,Kandal,,,,2014,11.8
2005,Kandal,,,,2014,11.5
2010,Kandal,,,,2014,9.9
2014,Kandal,,,,2014,9.2
2000,Koh Kong,,,,2000,14.7
2005,Kratie,,,,2014,4.2
2010,Kratie,,,,2014,7.1
2014,Kratie,,,,2014,6.5
2005,Oddar Meanchey,,,,2014,10.3
2010,Oddar Meanchey,,,,2014,17.6
2014,Oddar Meanchey,,,,2014,15.1
2000,Phnom Penh,,,,2014,18.3
2005,Phnom Penh,,,,2014,5.5
2010,Phnom Penh,,,,2014,11.2
2014,Phnom Penh,,,,2014,8.4
2000,Prey Veng,,,,2014,15.1
2005,Prey Veng,,,,2014,11.3
2010,Prey Veng,,,,2014,10.9
2014,Prey Veng,,,,2014,8.6
2000,Pursat,,,,2014,13.4
2005,Pursat,,,,2014,17.0
2010,Pursat,,,,2014,13.3
2014,Pursat,,,,2014,12.3
2005,Siemreap,,,,2014,6.3
2010,Siemreap,,,,2014,12.3
2014,Siemreap,,,,2014,9.5
2000,Svay Rieng,,,,2014,13.0
2005,Svay Rieng,,,,2014,7.8
2010,Svay Rieng,,,,2014,12.2
2014,Svay Rieng,,,,2014,7.6
2000,Takeo,,,,2014,17.2
2005,Takeo,,,,2014,7.6
2010,Takeo,,,,2014,9.5
2014,Takeo,,,,2014,14.6
2000,Battambang and Pailin,,,,2014,21.1
2005,Battambang and Pailin,,,,2014,5.6
2010,Battambang and Pailin,,,,2014,14.4
2014,Battambang and Pailin,,,,2014,7.9
2000,"Kampot, Preah Sihanouk and Kep",,,,2000,9.6
2000,"Kratie, Preah Vihear and Stung Treng",,,,2000,10.9
2000,Mondul Kiri and Ratanak Kiri,,,,2014,15.2
2005,Mondul Kiri and Ratanak Kiri,,,,2014,7.6
2010,Mondul Kiri and Ratanak Kiri,,,,2014,10.3
2014,Mondul Kiri and Ratanak Kiri,,,,2014,8.2
2000,Otdar Meanchey and Siem Reap,,,,2000,10.6
2005,Kampot and Kep,,,,2014,5.0
2010,Kampot and Kep,,,,2014,8.9
2014,Kampot and Kep,,,,2014,8.2
2005,Koh Kong and Preah Sihanouk,,,,2014,7.3
2010,Koh Kong and Preah Sihanouk,,,,2014,9.1
2014,Koh Kong and Preah Sihanouk,,,,2014,10.5
2005,Preah Vihear and Stung Treng,,,,2014,9.7
2010,Preah Vihear and Stung Treng,,,,2014,8.0
2014,Preah Vihear and Stung Treng,,,,2014,13.8
