Year,Degree of urbanisation,Value
2008,,0.9
2009,,1.0
2010,,1.0
2011,,1.0
2012,,1.0
2013,,1.1
2014,,1.1
2015,,1.1
2016,,1.1
2017,,1.2
2018,,1.2
2019,,1.2
2008,Urban,0.9
2009,Urban,0.9
2010,Urban,0.8
2011,Urban,0.9
2012,Urban,1.0
2013,Urban,1.0
2014,Urban,1.0
2015,Urban,1.0
2016,Urban,1.1
2017,Urban,1.1
2018,Urban,1.1
2019,Urban,1.1
2008,Rural,0.9
2009,Rural,1.0
2010,Rural,1.0
2011,Rural,1.0
2012,Rural,1.0
2013,Rural,1.1
2014,Rural,1.1
2015,Rural,1.1
2016,Rural,1.2
2017,Rural,1.2
2018,Rural,1.2
2019,Rural,1.2
