Year,Reference area,Sex,Degree of urbanisation,Income or wealth quantile,Time period details,Value
2000,Cambodia,Female,,,2014,110.1
2005,Cambodia,Female,,,2014,97.0
2010,Cambodia,Female,,,2014,59.0
2014,Cambodia,Female,,,2014,41.0
2000,Cambodia,Male,,,2014,132.8
2005,Cambodia,Male,,,2014,115.0
2010,Cambodia,Male,,,2014,76.0
2014,Cambodia,Male,,,2014,54.0
2000,Cambodia,,,,2014,124.4
2005,Cambodia,,,,2014,83.0
2010,Cambodia,,,,2014,54.0
2014,Cambodia,,,,2014,35.0
2005,Cambodia,,,Quintile 1 (poorest),2014,127.0
2010,Cambodia,,,Quintile 1 (poorest),2014,90.0
2014,Cambodia,,,Quintile 1 (poorest),2014,76.0
2005,Cambodia,,,Quintile 2,2014,129.0
2010,Cambodia,,,Quintile 2,2014,83.0
2014,Cambodia,,,Quintile 2,2014,56.0
2005,Cambodia,,,Quintile 3,2014,114.0
2010,Cambodia,,,Quintile 3,2014,68.0
2014,Cambodia,,,Quintile 3,2014,41.0
2005,Cambodia,,,Quintile 4,2014,92.0
2010,Cambodia,,,Quintile 4,2014,49.0
2014,Cambodia,,,Quintile 4,2014,33.0
2005,Cambodia,,,Quintile 5 (richest),2014,43.0
2010,Cambodia,,,Quintile 5 (richest),2014,30.0
2014,Cambodia,,,Quintile 5 (richest),2014,19.0
2000,Cambodia,,Urban,,2014,92.6
2005,Cambodia,,Urban,,2014,76.0
2010,Cambodia,,Urban,,2014,29.0
2014,Cambodia,,Urban,,2014,18.0
2000,Cambodia,,Rural,,2014,126.0
2005,Cambodia,,Rural,,2014,111.0
2010,Cambodia,,Rural,,2014,75.0
2014,Cambodia,,Rural,,2014,52.0
2000,Banteay Meanchey,,,,2014,107.7
2005,Banteay Meanchey,,,,2014,96.0
2010,Banteay Meanchey,,,,2014,76.0
2014,Banteay Meanchey,,,,2014,32.0
2000,Kampong Cham,,,,2014,133.8
2005,Kampong Cham,,,,2014,111.0
2010,Kampong Cham,,,,2014,58.0
2014,Kampong Cham,,,,2014,48.0
2000,Kampong Chhnang,,,,2014,160.0
2005,Kampong Chhnang,,,,2014,101.0
2010,Kampong Chhnang,,,,2014,97.0
2014,Kampong Chhnang,,,,2014,55.0
2000,Kampong Speu,,,,2014,89.5
2005,Kampong Speu,,,,2014,122.0
2010,Kampong Speu,,,,2014,73.0
2014,Kampong Speu,,,,2014,31.0
2000,Kampong Thom,,,,2014,98.8
2005,Kampong Thom,,,,2014,106.0
2010,Kampong Thom,,,,2014,67.0
2014,Kampong Thom,,,,2014,60.0
2000,Kandal,,,,2014,108.2
2005,Kandal,,,,2014,101.0
2010,Kandal,,,,2014,69.0
2014,Kandal,,,,2014,40.0
2000,Koh Kong,,,,2000,90.8
2005,Kratie,,,,2014,116.0
2010,Kratie,,,,2014,86.0
2014,Kratie,,,,2014,80.0
2005,Oddar Meanchey,,,,2014,110.0
2010,Oddar Meanchey,,,,2014,47.0
2014,Oddar Meanchey,,,,2014,41.0
2000,Phnom Penh,,,,2014,49.7
2005,Phnom Penh,,,,2014,52.0
2010,Phnom Penh,,,,2014,18.0
2014,Phnom Penh,,,,2014,23.0
2000,Prey Veng,,,,2014,151.3
2005,Prey Veng,,,,2014,143.0
2010,Prey Veng,,,,2014,74.0
2014,Prey Veng,,,,2014,75.0
2000,Pursat,,,,2014,172.7
2005,Pursat,,,,2014,106.0
2010,Pursat,,,,2014,57.0
2014,Pursat,,,,2014,36.0
2005,Siemreap,,,,2014,94.0
2010,Siemreap,,,,2014,60.0
2014,Siemreap,,,,2014,56.0
2000,Svay Rieng,,,,2014,129.6
2005,Svay Rieng,,,,2014,110.0
2010,Svay Rieng,,,,2014,93.0
2014,Svay Rieng,,,,2014,63.0
2000,Takeo,,,,2014,118.5
2005,Takeo,,,,2014,102.0
2010,Takeo,,,,2014,84.0
2014,Takeo,,,,2014,31.0
2000,Battambang and Pailin,,,,2014,126.6
2005,Battambang and Pailin,,,,2014,116.0
2010,Battambang and Pailin,,,,2014,54.0
2014,Battambang and Pailin,,,,2014,37.0
2000,"Kampot, Preah Sihanouk and Kep",,,,2000,124.4
2000,"Kratie, Preah Vihear and Stung Treng",,,,2000,119.5
2000,Mondul Kiri and Ratanak Kiri,,,,2014,229.3
2005,Mondul Kiri and Ratanak Kiri,,,,2014,165.0
2010,Mondul Kiri and Ratanak Kiri,,,,2014,106.0
2014,Mondul Kiri and Ratanak Kiri,,,,2014,80.0
2000,Otdar Meanchey and Siem Reap,,,,2000,124.6
2005,Kampot and Kep,,,,2014,83.0
2010,Kampot and Kep,,,,2014,73.0
2014,Kampot and Kep,,,,2014,44.0
2005,Koh Kong and Preah Sihanouk,,,,2014,104.0
2010,Koh Kong and Preah Sihanouk,,,,2014,63.0
2014,Koh Kong and Preah Sihanouk,,,,2014,42.0
2005,Preah Vihear and Stung Treng,,,,2014,146.0
2010,Preah Vihear and Stung Treng,,,,2014,118.0
2014,Preah Vihear and Stung Treng,,,,2014,79.0
