Year,SERIES,Value
1993,5.5.2 Proportion of under secretary of state who are women,5.0
1998,5.5.2 Proportion of under secretary of state who are women,3.93
2003,5.5.2 Proportion of under secretary of state who are women,7.5
2008,5.5.2 Proportion of under secretary of state who are women,15.1
2013,5.5.2 Proportion of under secretary of state who are women,17.58
2018,5.5.2 Proportion of under secretary of state who are women,16.87
1993,5.5.2 Proportion of secretary of state who are women,0.0
1998,5.5.2 Proportion of secretary of state who are women,6.0
2003,5.5.2 Proportion of secretary of state who are women,6.6
2008,5.5.2 Proportion of secretary of state who are women,8.0
2013,5.5.2 Proportion of secretary of state who are women,20.54
2018,5.5.2 Proportion of secretary of state who are women,16.36
